"","CCLE.PRISM","CCLE.CTRPv2","GDSC_v1","GDSC_v2","GRAY","UHNBreast","gCSI"
"Cediranib",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Cyclophosphamide",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Dinaciclib",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Epirubicin",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Erastin",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"GSK1070916",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"GSK-1904529A",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Omipalisib",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"Gsk-461364",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"Irinotecan",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Ispinesib",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"LCL161",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Lenalidomide",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Lestaurtinib",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"Linifanib",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Masitinib",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Mitomycin",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Adavosertib",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Nelarabine",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Nutlin-3",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"Luminespib",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Nvp-tae 684",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Oligomycin A",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"Osi-930",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Pac-1",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"(-)-Parthenolide",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Pazopanib",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"PD-0325901",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"CI-1040",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"Pha-793887",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"PI-103",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Quizartinib",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Saracatinib",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"SB 505124",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Serdemetan",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"SN-38",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Snx-2112",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Talazoparib",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Teniposide",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Fedratinib",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Tipifarnib",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Tivantinib",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"Tivozanib",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Topotecan",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Trichostatin.A",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"TW 37",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"ZSTK474",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Doramapimod",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"KU-55933",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"TGX221",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Unii-40E3azg1MX",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"YK 4-279",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"NU-7441",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"PF-4708671",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"Vincaleukoblastine",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"Abiraterone",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ACY-1215",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Alectinib",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"AM-580",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"PDK1 inhibitor AR-12",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"AR-42",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"AST-1306",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"AT-7519",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Onalespib",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"AZ20",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"AZ-3146",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"AZ960",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Azd-1480",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Capivasertib",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Baicalein",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"BAM7",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Barasertib",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bardoxolone methyl",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bendamustine",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Betulinic acid",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bicalutamide",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Birinapant",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"BIX-01294",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Blebbistatin",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"SNS-032",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Brefeldin A",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Buparlisib",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Ulixertinib",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"BX-912",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Camptothecin",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"1,3-Bis(2-chloroethyl)-1-nitrosourea",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"CD-437",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chlorambucil",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ciclopirox",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cimetidine",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Clofarabine",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"CP724714",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Cudc-101",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Curcumin",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Silmitasertib",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"CX-5461",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Cyclosporin A",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Momelotinib",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cytochalasin B",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"DTIC-Dome",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Dacinostat",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"PF-00299804",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Decitabine",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Disulfiram",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Elesclomol",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Embelin",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Epothilone B",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"EPZ5676",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Etomoxir",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ETP-46464",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Everolimus",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ARRY-520",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Floxuridine",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"2-fluoroAraA (fludarabine)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Fluvastatin",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ipatasertib",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"GDC-0879",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Apitolisib",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Gossypol",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Entospletinib",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"GSK-3 inhibitor IX",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"GSK-J4",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Afuresertib",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"GSK429286A",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"GSK-650394",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"GSK923295",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"GW-405833",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"GW 441756",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Omacetaxine mepesuccinate",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ifosfamide",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"IKK.16",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"IMD 0354",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Ilomastat",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Indisulam",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Istradefylline",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Itraconazole",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ixabepilone",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Ixazomib",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ki8751",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"KPT185",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ku-0063794",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"KW-2449",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"KX2-391",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"LE-135",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Lenvatinib",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Lovastatin",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"LY2109761",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"LY-2183240",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mebendazole",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"MGCD-265 analog",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Midostaurin",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Mitoxantrone",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Motesanib",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Neratinib",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Niclosamide",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Nintedanib",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Niraparib",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"NSC23766",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"NSC632839",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"NSC663284",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Osimertinib",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"OTX015",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Ouabain",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"P22077",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Parbendazole",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"PD 153035",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"PD318088",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"PD98059",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Pelitinib",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"PF-03758309",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"PF-00562271 free base",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"PF-573228",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"PFI-1",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Pha-665752",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"2-Pyridinecarboxylic acid",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Pilaralisib",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Ponatinib",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"PRT062607",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Pyrimethamine",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Raf265(chir-265)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Refametinib",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Regorafenib",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"N-Phthalyl-L-tryptophan",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ribavirin",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Ribociclib",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Rigosertib",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Rita",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"SB-225002",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"SB-431542",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"SB-525334",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"SB590885",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"SB-743921",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Simvastatin",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Skepinone-L",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"SKI-II",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sonidegib",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"SRT-1720",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"StemRegenin 1",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Tacedinaline",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Tacrolimus",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Tak-715",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Tandutinib",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Taselisib",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Tenovin-6",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"TG-100-115",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Torin 2",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Tosedostat",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Triciribine",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Triptolide",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"TWS119",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"AG1478",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Uprosertib",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Vandetanib",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"VE821",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"VE-822",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Vemurafenib",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vismodegib",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"VX-702",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Degrasyn",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"WYE-125132",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"WZ4002",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"WZ8040",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Y-39983",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"YM201636",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Bleomycin a2",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Brivanib",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Carboplatinum",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"EX-527",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Fingolimod",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"GSK1059615",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"GSK2636771",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"IC-87114",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"KIN001-135",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"KU-60019",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Met Kinase Inhibitor",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"MI-2",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"MLN2480",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
